system_time_start,LST_C_L5,LST_C_L7,LST_C_L8,LST_C_L9,year,month,day
03/07/2010,24.403,,,,2010,7,3
10/07/2010,29.65,,,,2010,7,10
10/07/2010,29.555,,,,2010,7,10
11/07/2010,,27.42,,,2010,7,11
19/07/2010,17.72,,,,2010,7,19
26/07/2010,,,,,2010,7,26
26/07/2010,,,,,2010,7,26
27/07/2010,,9.753,,,2010,7,27
04/08/2010,,,,,2010,8,4
11/08/2010,,,,,2010,8,11
11/08/2010,,,,,2010,8,11
12/08/2010,,,,,2010,8,12
19/08/2010,,,,,2010,8,19
19/08/2010,,,,,2010,8,19
20/08/2010,18.425,,,,2010,8,20
27/08/2010,,,,,2010,8,27
27/08/2010,,,,,2010,8,27
